datum,tijd,cat,counter,datetime,dag,tijduren,dagdeel,etmaalGemiddeldeTempGradenCelsius,zonneschijnUren,stralingJoulePerVierkanteCm,EtmaalNeerslagMM,gemLuchtdrukHectoPascal,Open,High,Low,Close,Volume,Adjusted Close
2015-03-25,13:59,roel alleen,1,2015-03-25T12:59:00Z,woensdag,13.9833333333333,middag,6,0.1,509,5.6,1008.2,497.350006,499.679993,490.920013,491.640015,0,491.640015
2015-03-25,10:28,roel alleen,1,2015-03-25T09:28:00Z,woensdag,10.4666666666667,ochtend,6,0.1,509,5.6,1008.2,497.350006,499.679993,490.920013,491.640015,0,491.640015
2015-03-24,11:33,roel alleen,1,2015-03-24T10:33:00Z,dinsdag,11.55,ochtend,5.1,3.1,869,0.5,1008.4,495.75,500.440002,494.98999,498.660004,0,498.660004
2015-03-23,14:57,roel alleen,1,2015-03-23T13:57:00Z,maandag,14.95,middag,2.5,5.5,1005,0,1015.8,499.559998,499.649994,495.320007,497.549988,0,497.549988
2015-03-23,13:21,roel alleen,1,2015-03-23T12:21:00Z,maandag,13.35,middag,2.5,5.5,1005,0,1015.8,499.559998,499.649994,495.320007,497.549988,0,497.549988
2015-03-23,09:49,roel alleen,1,2015-03-23T08:49:00Z,maandag,9.81666666666667,ochtend,2.5,5.5,1005,0,1015.8,499.559998,499.649994,495.320007,497.549988,0,497.549988
2015-03-22,11:58,roel alleen,1,2015-03-22T10:58:00Z,zondag,11.9666666666667,ochtend,4.3,5.9,1182,0,1025.2,NA,NA,NA,NA,NA,NA
2015-03-22,11:14,roel alleen,1,2015-03-22T10:14:00Z,zondag,11.2333333333333,ochtend,4.3,5.9,1182,0,1025.2,NA,NA,NA,NA,NA,NA
2015-03-21,16:42,roel alleen,1,2015-03-21T15:42:00Z,zaterdag,16.7,middag,6.5,2.6,793,1.4,1020.5,NA,NA,NA,NA,NA,NA
2015-03-21,11:57,roel alleen,1,2015-03-21T10:57:00Z,zaterdag,11.95,ochtend,6.5,2.6,793,1.4,1020.5,NA,NA,NA,NA,NA,NA
2015-03-21,11:32,roel alleen,1,2015-03-21T10:32:00Z,zaterdag,11.5333333333333,ochtend,6.5,2.6,793,1.4,1020.5,NA,NA,NA,NA,NA,NA
2015-03-20,10:14,roel alleen,1,2015-03-20T09:14:00Z,vrijdag,10.2333333333333,ochtend,4.7,2.6,819,-0.1,1025.4,497.170013,500.660004,495.450012,499.119995,0,499.119995
2015-03-20,09:20,roel alleen,1,2015-03-20T08:20:00Z,vrijdag,9.33333333333333,ochtend,4.7,2.6,819,-0.1,1025.4,497.170013,500.660004,495.450012,499.119995,0,499.119995
2015-03-19,09:43,roel alleen,1,2015-03-19T08:43:00Z,donderdag,9.71666666666667,ochtend,6.7,5.1,943,0,1029,497.079987,499.940002,494.700012,496.01001,0,496.01001
2015-03-18,13:21,roel alleen,1,2015-03-18T12:21:00Z,woensdag,13.35,middag,5.8,0,304,0,1028.7,495.440002,496.649994,492.309998,496.630005,0,496.630005
2015-03-18,10:44,roel alleen,1,2015-03-18T09:44:00Z,woensdag,10.7333333333333,ochtend,5.8,0,304,0,1028.7,495.440002,496.649994,492.309998,496.630005,0,496.630005
2015-03-17,11:04,roel alleen,1,2015-03-17T10:04:00Z,dinsdag,11.0666666666667,ochtend,7.1,9.4,1326,0,1025,498.480011,499.299988,492.700012,494.399994,0,494.399994
2015-03-17,09:02,roel alleen,1,2015-03-17T08:02:00Z,dinsdag,9.03333333333333,ochtend,7.1,9.4,1326,0,1025,498.480011,499.299988,492.700012,494.399994,0,494.399994
2015-03-16,10:42,roel alleen,1,2015-03-16T09:42:00Z,maandag,10.7,ochtend,6.6,8,1254,0,1024,493.950012,498.660004,493.950012,498.029999,0,498.029999
2015-03-16,09:50,roel alleen,1,2015-03-16T08:50:00Z,maandag,9.83333333333333,ochtend,6.6,8,1254,0,1024,493.950012,498.660004,493.950012,498.029999,0,498.029999
2015-03-15,14:20,roel alleen,1,2015-03-15T13:20:00Z,zondag,14.3333333333333,middag,5.7,0.2,381,-0.1,1027.8,NA,NA,NA,NA,NA,NA
2015-03-13,12:01,roel alleen,1,2015-03-13T11:01:00Z,vrijdag,12.0166666666667,middag,4.9,10.7,1428,0,1025.8,493.209991,493.619995,489.320007,492.480011,0,492.480011
2015-03-13,09:05,roel alleen,1,2015-03-13T08:05:00Z,vrijdag,9.08333333333333,ochtend,4.9,10.7,1428,0,1025.8,493.209991,493.619995,489.320007,492.480011,0,492.480011
2015-03-12,10:40,roel alleen,1,2015-03-12T09:40:00Z,donderdag,10.6666666666667,ochtend,6,10.7,1454,0,1029.6,492.589996,494.570007,490.910004,491.640015,0,491.640015
2015-03-12,10:01,roel alleen,1,2015-03-12T09:01:00Z,donderdag,10.0166666666667,ochtend,6,10.7,1454,0,1029.6,492.589996,494.570007,490.910004,491.640015,0,491.640015
2015-03-11,15:19,roel alleen,1,2015-03-11T14:19:00Z,woensdag,15.3166666666667,middag,3.2,7.2,1249,0,1031.5,484.179993,492.600006,484.049988,491.929993,0,491.929993
2015-03-11,12:33,roel alleen,1,2015-03-11T11:33:00Z,woensdag,12.55,middag,3.2,7.2,1249,0,1031.5,484.179993,492.600006,484.049988,491.929993,0,491.929993
2015-03-11,09:50,roel alleen,1,2015-03-11T08:50:00Z,woensdag,9.83333333333333,ochtend,3.2,7.2,1249,0,1031.5,484.179993,492.600006,484.049988,491.929993,0,491.929993
2015-03-11,08:36,roel alleen,1,2015-03-11T07:36:00Z,woensdag,8.6,ochtend,3.2,7.2,1249,0,1031.5,484.179993,492.600006,484.049988,491.929993,0,491.929993
2015-03-10,09:48,roel alleen,1,2015-03-10T08:48:00Z,dinsdag,9.8,ochtend,6.4,9.3,1349,-0.1,1029.2,486.880005,488.51001,482.130005,483.100006,0,483.100006
2015-03-10,08:19,roel alleen,1,2015-03-10T07:19:00Z,dinsdag,8.31666666666667,ochtend,6.4,9.3,1349,-0.1,1029.2,486.880005,488.51001,482.130005,483.100006,0,483.100006
2015-03-09,10:02,roel alleen,1,2015-03-09T09:02:00Z,maandag,10.0333333333333,ochtend,8,5.7,905,0.6,1026,487.399994,488.209991,484.76001,488.209991,0,488.209991
2015-03-08,09:37,roel alleen,1,2015-03-08T08:37:00Z,zondag,9.61666666666667,ochtend,8.5,10.1,1311,0.3,1023.1,NA,NA,NA,NA,NA,NA
2015-03-08,09:24,roel alleen,1,2015-03-08T08:24:00Z,zondag,9.4,ochtend,8.5,10.1,1311,0.3,1023.1,NA,NA,NA,NA,NA,NA
2015-03-07,13:48,roel alleen,1,2015-03-07T12:48:00Z,zaterdag,13.8,middag,8.5,5.1,887,0,1026.8,NA,NA,NA,NA,NA,NA
2015-03-07,11:30,roel alleen,1,2015-03-07T10:30:00Z,zaterdag,11.5,ochtend,8.5,5.1,887,0,1026.8,NA,NA,NA,NA,NA,NA
2015-03-06,10:48,roel alleen,1,2015-03-06T09:48:00Z,vrijdag,10.8,ochtend,6.9,2,592,0,1034.2,488.549988,492.359985,488.070007,489.839996,0,489.839996
2015-03-06,09:48,roel alleen,1,2015-03-06T08:48:00Z,vrijdag,9.8,ochtend,6.9,2,592,0,1034.2,488.549988,492.359985,488.070007,489.839996,0,489.839996
2015-03-05,14:12,roel alleen,1,2015-03-05T13:12:00Z,donderdag,14.2,middag,5.8,6.6,978,0,1037.1,484.959991,489.359985,484.829987,488.959991,0,488.959991
2015-03-04,14:14,roel alleen,1,2015-03-04T13:14:00Z,woensdag,14.2333333333333,middag,5.7,1.2,482,0.2,1025.8,481.220001,483.570007,478.799988,483.570007,0,483.570007
2015-03-04,09:49,roel alleen,1,2015-03-04T08:49:00Z,woensdag,9.81666666666667,ochtend,5.7,1.2,482,0.2,1025.8,481.220001,483.570007,478.799988,483.570007,0,483.570007
