"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"107",2015-04-08,"14:57",1,0,0,"roel alleen",2015-04-08 14:57:00,1
"108",2015-04-08,"13:14",1,0,0,"roel alleen",2015-04-08 13:14:00,1
"109",2015-04-08,"09:30",1,0,0,"roel alleen",2015-04-08 09:30:00,1
"110",2015-04-07,"14:43",1,0,0,"roel alleen",2015-04-07 14:43:00,1
"111",2015-04-07,"10:12",1,0,0,"roel alleen",2015-04-07 10:12:00,1
"112",2015-04-05,"10:48",1,0,0,"roel alleen",2015-04-05 10:48:00,1
"113",2015-04-05,"10:18",1,0,0,"roel alleen",2015-04-05 10:18:00,1
"114",2015-04-04,"09:09",1,0,0,"roel alleen",2015-04-04 09:09:00,1
"115",2015-04-04,"08:50",1,0,0,"roel alleen",2015-04-04 08:50:00,1
"116",2015-04-03,"11:29",1,0,0,"roel alleen",2015-04-03 11:29:00,1
"117",2015-04-02,"15:58",1,0,0,"roel alleen",2015-04-02 15:58:00,1
"118",2015-04-01,"13:34",1,0,0,"roel alleen",2015-04-01 13:34:00,1
"119",2015-04-01,"09:31",1,0,0,"roel alleen",2015-04-01 09:31:00,1
"120",2015-03-31,"14:26",1,0,0,"roel alleen",2015-03-31 14:26:00,1
"121",2015-03-31,"10:37",1,0,0,"roel alleen",2015-03-31 10:37:00,1
"122",2015-03-31,"10:23",1,0,0,"roel alleen",2015-03-31 10:23:00,1
"123",2015-03-30,"13:38",1,0,0,"roel alleen",2015-03-30 13:38:00,1
"124",2015-03-30,"11:04",1,0,0,"roel alleen",2015-03-30 11:04:00,1
"125",2015-03-30,"09:08",1,0,0,"roel alleen",2015-03-30 09:08:00,1
"126",2015-03-28,"13:14",1,0,0,"roel alleen",2015-03-28 13:14:00,1
"127",2015-03-28,"11:13",1,0,0,"roel alleen",2015-03-28 11:13:00,1
"128",2015-03-27,"16:03",1,0,0,"roel alleen",2015-03-27 16:03:00,1
"129",2015-03-27,"13:37",1,0,0,"roel alleen",2015-03-27 13:37:00,1
"130",2015-03-27,"12:36",1,0,0,"roel alleen",2015-03-27 12:36:00,1
"131",2015-03-27,"09:10",1,0,0,"roel alleen",2015-03-27 09:10:00,1
"132",2015-03-27,"09:00",1,0,0,"roel alleen",2015-03-27 09:00:00,1
"133",2015-03-26,"19:06",1,0,0,"roel alleen",2015-03-26 19:06:00,1
"134",2015-03-26,"14:07",1,0,0,"roel alleen",2015-03-26 14:07:00,1
"135",2015-03-26,"12:46",1,0,0,"roel alleen",2015-03-26 12:46:00,1
"136",2015-03-26,"10:46",1,0,0,"roel alleen",2015-03-26 10:46:00,1
